Time,Name,Location
*intermittently*,Rafa Roder,G03
*constantly*,Ana Sofia Calixto,G04
12:00,Viola Liang,203
12:15,Junchen Zhou,G05
12:50,MISO,G05
13:20,Zhendong Yan,G05
13:50,MurphyNile,G05
14:00,Viola Liang,203
14:20,Xuebiao Liu,G05
14:50,Hassan Arshad,G05
15:20,Tan Wang-Ward,G05
15:50,Ling Qiao,G05
,Biyang Shao,G05
,Yican Li,G05
16:00,Viola Liang,203
16:20,Naomi Gabriel,G05
